NM_LIVRO,NM_GENERO,NM_AUTOR,NM_EDITORA,NR_VALOR_VENDA,NM_LIVRARIA,NR_UNIDADES_VENDIDAS
Futuro Agora: Conectando o Mundo,Tecnologia,Rafael Gomes,Intrínseca,67.52,Livraria da Travessa,498
Desperte Seu Poder: Vença o Medo,Autoajuda,Rafael Gomes,Editora Globo,76.23,Livraria da Travessa,42
A Última Fronteira,Ficção,Gustavo Ribeiro,Companhia das Letras,11.09,Livraria Saraiva,94
Além do Infinito,Ficção,Fernanda Costa,Editora Sextante,38.83,Livraria Lecos,77
Desperte Seu Poder: Vença o Medo,Autoajuda,Sofia Almeida,Editora Globo,19.2,Livraria Cultura,72
O Feitiço da Sombra,Fantasia,Lucas Lima,Companhia das Letras,29.38,Livraria Saraiva,6
Amor Eterno: Entre Nós,Romance,Ana Pereira,Companhia das Letras,6.29,Livraria Martins Fontes,66
Os Guerreiros do Passado,História,Sofia Almeida,Companhia das Letras,16.72,Livraria Cultura,0
A Última Fronteira,Ficção,Sofia Almeida,Companhia das Letras,22.59,Livraria Saraiva,21
O Mistério de Paris,Suspense,Pedro Martins,Companhia das Letras,41.28,Livraria Martins Fontes,54
Vida Incrível: Histórias de Superação,Biografia,Thiago Fernandes,Companhia das Letras,9.11,Livraria Martins Fontes,374
A Casa das Sombras,Terror,Beatriz Nunes,Editora Globo,5.13,Livraria Lecos,0
Os Olhos da Noite,Terror,Ana Pereira,Intrínseca,16.65,Livraria Martins Fontes,1
Desperte Seu Poder: Caminhos para a Felicidade,Autoajuda,Carlos Souza,Editora Rocco,62.61,Livraria Martins Fontes,0
A Última Fronteira,Ficção,João Silva,Intrínseca,166.64,Livraria Lecos,18
Futuro Agora: Inteligência Artificial,Tecnologia,Juliana Rocha,Editora Sextante,192.29,Livraria da Travessa,895
Amor Eterno: Entre Nós,Romance,Rafael Gomes,Editora Rocco,10.39,Livraria da Travessa,13
O Feitiço da Estrela,Fantasia,Lucas Lima,Editora Record,89.3,Livraria da Travessa,243
Amor Eterno: A Noite das Estrelas,Romance,Carla Dias,Editora Planeta,56.24,Livraria Fnac,87
Vida Incrível: Histórias de Superação,Biografia,Beatriz Nunes,Editora Rocco,84.26,Livraria Saraiva,256
Aventuras Mágicas: O Segredo da Floresta Encantada,Infantil,Juliana Rocha,Editora Record,11.9,Livraria Fnac,0
Os Olhos da Noite,Terror,Lucas Lima,Editora Planeta,19.01,Livraria Saraiva,7
A Última Batalha,História,Rafael Gomes,Intrínseca,20.67,Livraria Saraiva,88
Aventura Radical: Viagem ao Centro da Terra,Aventura,Sofia Almeida,Editora Rocco,13.61,Livraria da Travessa,68
A Casa das Sombras,Terror,Ana Pereira,Editora Planeta,118.16,Livraria Cultura,73
A Última Batalha,História,Lucas Lima,Editora Sextante,20.28,Livraria Lecos,0
Desperte Seu Poder: Vença o Medo,Autoajuda,Pedro Martins,Editora Rocco,45.25,Livraria Saraiva,354
O Mistério de Londres,Suspense,Carlos Souza,Editora Rocco,72.44,Livraria Cultura,35
Futuro Agora: Conectando o Mundo,Tecnologia,Maria Oliveira,Editora Record,4.96,Livraria Lecos,274
Aventuras Mágicas: O Reino do Arco-Íris,Infantil,Juliana Rocha,Editora Planeta,197.51,Livraria Fnac,76
Aventura Radical: Os Mistérios do Deserto,Aventura,Gustavo Ribeiro,Editora Record,51.67,Livraria Saraiva,55
Vida Incrível: Passos para a Eternidade,Biografia,Carla Dias,Editora Globo,9.74,Livraria Martins Fontes,8
O Feitiço da Montanha,Fantasia,Juliana Rocha,Editora Rocco,9.8,Livraria Cultura,109
O Horizonte Proibido,Ficção,João Silva,Companhia das Letras,27.39,Livraria Lecos,123
O Feitiço da Sombra,Fantasia,Fernanda Costa,Editora Planeta,38.41,Livraria Fnac,0
Vida Incrível: O Legado de uma Lenda,Biografia,Sofia Almeida,Editora Planeta,144.51,Livraria Lecos,155
Aventura Radical: Em Busca do Tesouro Perdido,Aventura,João Silva,Editora Globo,44.15,Livraria Cultura,37
A Casa das Sombras,Terror,Rafael Gomes,Editora Rocco,128.05,Livraria Cultura,294
Aventuras Mágicas: O Reino do Arco-Íris,Infantil,Juliana Rocha,Editora Record,105.06,Livraria Fnac,6
O Feitiço da Lua,Fantasia,Maria Oliveira,Editora Planeta,25.74,Livraria Fnac,12
Revolução Científica: O Enigma da Matéria,Ciência,Rafael Gomes,Editora Planeta,67.53,Livraria Fnac,0
O Feitiço da Lua,Fantasia,Pedro Martins,Intrínseca,97.84,Livraria Lecos,415
Desperte Seu Poder: Superando Limites,Autoajuda,Maria Oliveira,Editora Globo,51.98,Livraria Cultura,0
Aventura Radical: Em Busca do Tesouro Perdido,Aventura,Juliana Rocha,Intrínseca,70.26,Livraria Saraiva,48
Futuro Agora: Revolução Digital,Tecnologia,Rafael Gomes,Editora Globo,23.92,Livraria Fnac,30
Revolução Científica: Mistérios do Universo,Ciência,Juliana Rocha,Editora Sextante,34.3,Livraria Lecos,0
Vida Incrível: Passos para a Eternidade,Biografia,Carla Dias,Editora Planeta,23.33,Livraria Saraiva,6
Aventura Radical: Em Busca do Tesouro Perdido,Aventura,Fernanda Costa,Companhia das Letras,57.67,Livraria Martins Fontes,86
Futuro Agora: Revolução Digital,Tecnologia,Ana Pereira,Editora Rocco,45.02,Livraria Lecos,396
Amor Eterno: O Último Beijo,Romance,Maria Oliveira,Editora Sextante,52.67,Livraria Saraiva,23
O Feitiço da Montanha,Fantasia,Pedro Martins,Editora Sextante,20.26,Livraria da Travessa,18
Aventura Radical: Viagem ao Centro da Terra,Aventura,Carlos Souza,Editora Record,9.91,Livraria Cultura,94
O Feitiço da Chama,Fantasia,Lucas Lima,Editora Planeta,43.03,Livraria da Travessa,171
Nos Bastidores da História,História,Gustavo Ribeiro,Editora Globo,37.2,Livraria Saraiva,9
Futuro Agora: Conectando o Mundo,Tecnologia,Beatriz Nunes,Editora Globo,45.18,Livraria Cultura,52
Aventura Radical: Viagem ao Centro da Terra,Aventura,Lucas Lima,Editora Planeta,29.62,Livraria da Travessa,0
Além do Infinito,Ficção,Pedro Martins,Companhia das Letras,11.42,Livraria da Travessa,28
A Última Batalha,História,Rafael Gomes,Intrínseca,84.57,Livraria Saraiva,9
Além do Infinito,Ficção,Ana Pereira,Editora Planeta,84.37,Livraria Fnac,221
Vida Incrível: O Legado de uma Lenda,Biografia,Sofia Almeida,Editora Record,87.89,Livraria Saraiva,630
Aventura Radical: Em Busca do Tesouro Perdido,Aventura,João Silva,Intrínseca,173.54,Livraria Fnac,471
O Feitiço da Lua,Fantasia,Thiago Fernandes,Companhia das Letras,14.08,Livraria Lecos,3
Revolução Científica: Mistérios do Universo,Ciência,Rafael Gomes,Editora Rocco,14.66,Livraria Fnac,470
Revolução Científica: O Enigma da Matéria,Ciência,Pedro Martins,Editora Sextante,43.05,Livraria Lecos,167
Vida Incrível: O Legado de uma Lenda,Biografia,Juliana Rocha,Editora Planeta,13.01,Livraria Lecos,0
O Feitiço da Montanha,Fantasia,Maria Oliveira,Intrínseca,4.75,Livraria Martins Fontes,0
Desperte Seu Poder: Vença o Medo,Autoajuda,Carlos Souza,Editora Planeta,58.62,Livraria da Travessa,47
O Feitiço da Montanha,Fantasia,Maria Oliveira,Editora Rocco,165.13,Livraria Saraiva,325
A Última Fronteira,Ficção,Maria Oliveira,Editora Rocco,29.33,Livraria Cultura,36
Futuro Agora: Inteligência Artificial,Tecnologia,Gustavo Ribeiro,Editora Planeta,45.69,Livraria Martins Fontes,46
Aventura Radical: Em Busca do Tesouro Perdido,Aventura,Rafael Gomes,Editora Rocco,25.44,Livraria Lecos,95
No Coração do Terror,Terror,Beatriz Nunes,Intrínseca,47.11,Livraria Cultura,226
Futuro Agora: Inteligência Artificial,Tecnologia,Lucas Lima,Intrínseca,39.1,Livraria da Travessa,76
